Absorber Layer,PCE,Voc,Jsc,FF
rrP3HT:49,"{'value': 0.035, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}",,
rrP3HT:50,"{'value': 0.2, 'error': None, 'unit': '%'}","{'value': 1.14, 'error': None, 'unit': 'V'}",,
rrP3HT:51,"{'value': 0.73, 'error': 0.01, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
rrP3HT:52,"{'value': 1.4, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
rrP3HT:53,"{'value': 2.54, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
rrP3HT:55b,"{'value': 0.31, 'error': None, 'unit': '%'}","{'value': 0.52, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 31.0, 'error': None, 'unit': '%'}"
rrP3HT:56b,"{'value': 0.31, 'error': None, 'unit': '%'}",,,
75a,"{'value': 1.46, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
75b,"{'value': 1.48, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
77,"{'value': 0.43, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PT1:80,"{'value': 2.23, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
84a,"{'value': 0.4, 'error': None, 'unit': '%'}","{'value': 0.56, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
84b,"{'value': 0.8, 'error': None, 'unit': '%'}","{'value': 0.56, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
86,"{'value': 2.3, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
PBDT-DFQX-TTSEH,"{'value': 7.02, 'error': None, 'unit': '%'}",,,
PBDT-DFQX-TTSC8,"{'value': 8.51, 'error': None, 'unit': '%'}",,,
NanoCOT and NiMoZn electrodes,"{'value': 8.5, 'error': None, 'unit': '%'}",,,
Not provided,"{'value': 8.2, 'error': None, 'unit': '%'}","{'value': 2.4, 'error': None, 'unit': 'V'}",,
CH3NH3PbI3,"{'value': 7.61, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 19.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.05, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 17.04, 'error': None, 'unit': '%'}","{'value': 1.06, 'error': None, 'unit': 'V'}","{'value': 23.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.62, 'error': None, 'unit': '%'}"
P1:[60]PCBM,"{'value': 5.0, 'error': 0.1, 'unit': '%'}","{'value': 0.59, 'error': 0.002, 'unit': 'V'}","{'value': 14.1, 'error': 0.3, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': 1.0, 'unit': '%'}"
P1:[60]PCBM with 5% NDT,"{'value': 5.1, 'error': 0.1, 'unit': '%'}","{'value': 0.605, 'error': 0.006, 'unit': 'V'}","{'value': 15.1, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 56.0, 'error': 1.0, 'unit': '%'}"
Organometallic halide perovskite-poly(2-ethyl-2-oxazoline) nanocomposite thin films,"{'value': 0.76, 'error': None, 'unit': '%'}",,,
MAPbI3 perovskite,"{'value': 22.1, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
CH3NH3PbIxCl3−x,"{'value': 12.59, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
CH3NH3PbIxCl3−x:C-PCBSD,"{'value': 17.21, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.0, 'error': None, 'unit': '%'}"
"PM6, BTBR-2F, Y6","{'value': 17.38, 'error': None, 'unit': '%'}","{'value': 0.859, 'error': None, 'unit': 'V'}","{'value': 27.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.11, 'error': None, 'unit': '%'}"
TT80,"{'value': 6.7, 'error': None, 'unit': '%'}","{'value': 0.7974, 'error': None, 'unit': 'V'}","{'value': 16.35, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.3, 'error': None, 'unit': '%'}"
????,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
TPD-3F/IT-4F,"{'value': 13.84, 'error': None, 'unit': '%'}","{'value': 0.911, 'error': None, 'unit': 'V'}","{'value': 20.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.0, 'error': None, 'unit': '%'}"
(FAPbI3)0.85(MAPbBr3)0.15,"{'value': 18.84, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 22.43, 'error': None, 'unit': 'mA/cm2'}","{'value': 75.0, 'error': None, 'unit': '%'}"
CsPbI2Br,"{'value': 12.05, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 14.94, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
PBDTTT-C:PC71BM,"{'value': 7.46, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 15.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
PTB7-Th:PC71BM,"{'value': 8.82, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 18.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
CoSe2,"{'value': 10.2, 'error': None, 'unit': '%'}","{'value': 0.753, 'error': None, 'unit': 'V'}","{'value': 18.55, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
TiO2,"{'value': 7.66, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
ZnP2-DPP,"{'value': 9.47, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 21.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.14, 'error': None, 'unit': '%'}"
PCPDTTBT,"{'value': 1.65, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 6.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.7, 'error': None, 'unit': '%'}"
PCPDTTBT,"{'value': 2.85, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 8.42, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.4, 'error': None, 'unit': '%'}"
"2,4-bis[4-(N,N-diisobutylamino)-2,6-dihydroxyphenyl] squaraine (SQ)","{'value': 4.0, 'error': None, 'unit': '%'}",,"{'value': 10.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
SQ:PC70BM,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 11.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
CsFAMA,"{'value': 13.3, 'error': 1.0, 'unit': '%'}","{'value': 1.05, 'error': 0.02, 'unit': 'V'}","{'value': 19.5, 'error': 0.6, 'unit': 'mA/cm2'}","{'value': 63.4, 'error': 1.0, 'unit': '%'}"
"TRA, CRA, PyRA","{'value': 1.68, 'error': None, 'unit': '%'}","{'value': 0.51, 'error': None, 'unit': 'V'}","{'value': 5.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 17.8, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 17.22, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 21.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 13.8, 'error': 0.2, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 21.3, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 77.0, 'error': 0.01, 'unit': '%'}"
N/A,"{'value': 12.8, 'error': 0.2, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 20.7, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 75.0, 'error': 0.02, 'unit': '%'}"
PBDB-T:Y5,"{'value': 12.52, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 19.38, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.4, 'error': None, 'unit': '%'}"
PBDB-T:PF5-Y5,"{'value': 14.16, 'error': None, 'unit': '%'}","{'value': 0.944, 'error': None, 'unit': 'V'}","{'value': 20.54, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.1, 'error': None, 'unit': '%'}"
PBDB-T:PF5-Y5,"{'value': 14.45, 'error': None, 'unit': '%'}","{'value': 0.946, 'error': None, 'unit': 'V'}","{'value': 20.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.0, 'error': None, 'unit': '%'}"
Sn1−xTaxO2 nanowalls bonded with graphene-like layers,"{'value': 8.38, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 8.38, 'error': None, 'unit': '%'}","{'value': 0.705, 'error': None, 'unit': 'V'}","{'value': 16.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 6.15, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 14.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
Pure-CdSe,"{'value': 0.49, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 42.0, 'error': None, 'unit': '%'}"
3% Fe–CdSe,"{'value': 2.64, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 1.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 84.0, 'error': None, 'unit': '%'}"
3% Mn–CdSe,"{'value': 1.6, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 1.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 16.52, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
Perovskite,"{'value': 18.54, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PTB7-Th:PPor-2(1:1):PC71BM,"{'value': 16.9, 'error': 0.5, 'unit': '%'}","{'value': 0.77, 'error': 0.01, 'unit': 'V'}","{'value': 9.0, 'error': 0.2, 'unit': 'mA/cm2'}","{'value': 3.77, 'error': 0.26, 'unit': '%'}"
Cu2O,"{'value': 0.67, 'error': None, 'unit': '%'}","{'value': 0.34, 'error': None, 'unit': 'V'}","{'value': 4.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
Cu2O,"{'value': 0.49, 'error': None, 'unit': '%'}","{'value': 0.34, 'error': None, 'unit': 'V'}","{'value': 3.08, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
PbS/CdS core-shell quantum dot,"{'value': 4.16, 'error': None, 'unit': '%'}",,,
PbS/CdS core-shell quantum dot,"{'value': 4.16, 'error': None, 'unit': '%'}",,,
PbS/CdS core-shell quantum dot,"{'value': 4.16, 'error': None, 'unit': '%'}",,,
PBDB-C2,"{'value': 18.25, 'error': None, 'unit': '%'}","{'value': 1.93, 'error': None, 'unit': 'V'}","{'value': 10.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 92.9, 'error': None, 'unit': '%'}"
PBDB-C4,"{'value': 18.25, 'error': None, 'unit': '%'}","{'value': 1.93, 'error': None, 'unit': 'V'}","{'value': 10.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 92.9, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 0.47, 'error': None, 'unit': '%'}","{'value': 0.19, 'error': None, 'unit': 'V'}","{'value': 7.29, 'error': None, 'unit': 'mA/cm2'}","{'value': 34.07, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 0.5, 'error': None, 'unit': '%'}","{'value': 0.2, 'error': None, 'unit': 'V'}","{'value': 7.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 32.45, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 0.68, 'error': None, 'unit': '%'}","{'value': 0.26, 'error': None, 'unit': 'V'}","{'value': 9.01, 'error': None, 'unit': 'mA/cm2'}","{'value': 28.9, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 0.56, 'error': None, 'unit': '%'}","{'value': 0.23, 'error': None, 'unit': 'V'}","{'value': 8.08, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.25, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 0.55, 'error': None, 'unit': '%'}","{'value': 0.24, 'error': None, 'unit': 'V'}","{'value': 7.62, 'error': None, 'unit': 'mA/cm2'}","{'value': 29.91, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 1.43, 'error': None, 'unit': '%'}","{'value': 0.16, 'error': None, 'unit': 'V'}","{'value': 2.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.7, 'error': None, 'unit': '%'}"
Ag8SnS6,"{'value': 2.29, 'error': None, 'unit': '%'}","{'value': 0.48, 'error': None, 'unit': 'V'}","{'value': 1.18, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.6, 'error': None, 'unit': '%'}"
ZnO,"{'value': 10.6, 'error': None, 'unit': '%'}","{'value': 1.07, 'error': None, 'unit': 'V'}","{'value': 16.81, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.0, 'error': None, 'unit': '%'}"
ZnO/urea,"{'value': 14.6, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 19.94, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
ZnO/urea (flexible),"{'value': 11.9, 'error': None, 'unit': '%'}",,"{'value': 18.7, 'error': None, 'unit': 'mA/cm2'}",
Cu9S5,"{'value': 5.7, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 13.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.0, 'error': None, 'unit': '%'}"
Cu9S5,"{'value': 3.9, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 12.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 46.0, 'error': None, 'unit': '%'}"
HM-NiS2,"{'value': 7.84, 'error': None, 'unit': '%'}","{'value': 0.712, 'error': None, 'unit': 'V'}","{'value': 17.48, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
Pt,"{'value': 7.89, 'error': None, 'unit': '%'}","{'value': 0.747, 'error': None, 'unit': 'V'}","{'value': 17.04, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 2.65, 'error': None, 'unit': '%'}","{'value': 0.581, 'error': None, 'unit': 'V'}","{'value': 8.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 53.7, 'error': None, 'unit': '%'}"
rGO,"{'value': 16.28, 'error': None, 'unit': '%'}","{'value': 1.071, 'error': None, 'unit': 'V'}","{'value': 21.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.61, 'error': None, 'unit': '%'}"
GO,"{'value': 8.35, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 20.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
"Blank (w/o NPs, w/o annealing)","{'value': 1.2, 'error': None, 'unit': '%'}","{'value': 0.46, 'error': None, 'unit': 'V'}","{'value': 6.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 38.5, 'error': None, 'unit': '%'}"
"ZnOF (2.5%, w/o annealing)","{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.46, 'error': None, 'unit': 'V'}","{'value': 6.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 42.7, 'error': None, 'unit': '%'}"
"ZnOF (5%, w/o annealing)","{'value': 1.8, 'error': None, 'unit': '%'}","{'value': 0.47, 'error': None, 'unit': 'V'}","{'value': 7.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
"ZnOF (10%, w/o annealing)","{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.48, 'error': None, 'unit': 'V'}","{'value': 7.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.0, 'error': None, 'unit': '%'}"
"ZnOF (5%, acetone annealing)","{'value': 1.6, 'error': None, 'unit': '%'}","{'value': 0.49, 'error': None, 'unit': 'V'}","{'value': 7.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.7, 'error': None, 'unit': '%'}"
"ZnOF (5%, o-DCB annealing)","{'value': 2.4, 'error': None, 'unit': '%'}","{'value': 0.49, 'error': None, 'unit': 'V'}","{'value': 8.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.1, 'error': None, 'unit': '%'}"
ZnOF (additional layer),"{'value': 2.0, 'error': None, 'unit': '%'}","{'value': 0.53, 'error': None, 'unit': 'V'}","{'value': 6.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.2, 'error': None, 'unit': '%'}"
ZnO (additional layer),"{'value': 2.2, 'error': None, 'unit': '%'}","{'value': 0.55, 'error': None, 'unit': 'V'}","{'value': 6.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.2, 'error': None, 'unit': '%'}"
Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,"{'value': 22.5, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 22.5, 'error': None, 'unit': '%'}","{'value': 1.75, 'error': None, 'unit': 'V'}",,
PTAA,"{'value': 16.2, 'error': None, 'unit': '%'}","{'value': 0.997, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.7, 'error': None, 'unit': '%'}"
P3HT,"{'value': 6.7, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.7, 'error': None, 'unit': '%'}"
PCPDTBT,"{'value': 5.3, 'error': None, 'unit': '%'}","{'value': 0.77, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.7, 'error': None, 'unit': '%'}"
PTB7-Th,"{'value': 11.04, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.0, 'error': None, 'unit': '%'}"
WS-9,"{'value': 9.04, 'error': None, 'unit': '%'}","{'value': 0.696, 'error': None, 'unit': 'V'}","{'value': 18.0, 'error': None, 'unit': 'mA/cm2'}",
N/A,"{'value': 7.74, 'error': None, 'unit': '%'}",,,
BDT(TffBTTT6)2/PC61BM,"{'value': 2.59, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 2.97, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.8, 'error': None, 'unit': '%'}"
BDT(TffBTTT6)2/PC71BM,"{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 37.9, 'error': None, 'unit': '%'}"
BDT(TBTTT6)2/PC61BM,"{'value': 1.06, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 34.6, 'error': None, 'unit': '%'}"
BDT(TBTTT6)2/PC71BM,"{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 37.9, 'error': None, 'unit': '%'}"
DTTCY,"{'value': 2.96, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
