Absorber Layer,PCE,Voc,Jsc,FF
BDT(TffBTTT6)2/PC71BM,"{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 37.9, 'error': None, 'unit': '%'}"
BDT(TBTTT6)2/PC61BM,"{'value': 1.06, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 34.6, 'error': None, 'unit': '%'}"
BDT(TBTTT6)2/PC71BM,"{'value': 1.3, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 4.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 37.9, 'error': None, 'unit': '%'}"
Sn-doped CsPbBr3 perovskite,"{'value': 8.95, 'error': None, 'unit': '%'}","{'value': 1.36, 'error': None, 'unit': 'V'}","{'value': 9.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.71, 'error': None, 'unit': '%'}"
Sb2S3,"{'value': 5.77, 'error': None, 'unit': '%'}","{'value': 0.6665, 'error': None, 'unit': 'V'}","{'value': 14.92, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.04, 'error': None, 'unit': '%'}"
N/A,,,"{'value': 4.96, 'error': None, 'unit': 'mA/cm2'}",
N/A,,,"{'value': 6.29, 'error': None, 'unit': 'mA/cm2'}",
N/A,,,"{'value': 11.46, 'error': None, 'unit': 'mA/cm2'}",
CH3NH3PbI3,"{'value': 14.0, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
"BDT copolymers (P1, P2, P3a-e, P4a-b), BDT copolymers with benzotriazole (P2), BDT copolymers with thienopyrroledione (P3a-e), BDT copolymers with π-conjugated side chains and thieno[3,4,b]thiophene acceptor (P4a-b), BDT copolymers with furan, thiophene, and selenophene side groups (P5a-c)","{'value': 2015.0, 'error': None, 'unit': ''}","{'value': 2015.0, 'error': None, 'unit': ''}","{'value': 2015.0, 'error': None, 'unit': ''}","{'value': 201500.0, 'error': None, 'unit': '%'}"
Nb2O5,"{'value': 2.97, 'error': None, 'unit': '%'}","{'value': 0.738, 'error': None, 'unit': 'V'}","{'value': 6.8, 'error': None, 'unit': 'mA/cm2'}",
CuCrO2 and Mg:CuCrO2,"{'value': 13.1, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 18.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.3, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 32.8, 'error': None, 'unit': '%'}",,,
Perovskite/Si,"{'value': 29.52, 'error': None, 'unit': '%'}",,,
CIGSS,"{'value': 15.15, 'error': None, 'unit': '%'}","{'value': 0.669, 'error': None, 'unit': 'V'}","{'value': 31.63, 'error': None, 'unit': 'mA/cm2'}","{'value': 71.62, 'error': None, 'unit': '%'}"
CIGSS,"{'value': 12.84, 'error': None, 'unit': '%'}","{'value': 0.662, 'error': None, 'unit': 'V'}","{'value': 28.78, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.43, 'error': None, 'unit': '%'}"
CsPbIBr2,"{'value': 11.08, 'error': None, 'unit': '%'}",,,
YZ7,"{'value': 5.6, 'error': None, 'unit': '%'}","{'value': 0.551, 'error': None, 'unit': 'V'}",,
N/A,"{'value': 15.98, 'error': None, 'unit': '%'}","{'value': 1.015, 'error': None, 'unit': 'V'}","{'value': 22.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.8, 'error': None, 'unit': '%'}"
CdS/CdSe,"{'value': 4.26, 'error': None, 'unit': '%'}",,"{'value': 12.58, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.44, 'error': None, 'unit': '%'}"
PBDTPO-DTBO/PC71BM,"{'value': 6.2, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 11.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.0, 'error': None, 'unit': '%'}"
PBDTPO-DTBT/PC71BM,"{'value': 3.4, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 9.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
D2,"{'value': 6.75, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 13.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.7, 'error': None, 'unit': '%'}"
D1,"{'value': 4.73, 'error': None, 'unit': '%'}","{'value': 0.717, 'error': None, 'unit': 'V'}","{'value': 9.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.71, 'error': None, 'unit': '%'}"
N/A,"{'value': 2.4, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 1.61, 'error': None, 'unit': '%'}",,,
Cs/FA-based perovskite,"{'value': 21.51, 'error': None, 'unit': '%'}",,,
DPP and isoindigo,"{'value': 6.04, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 18.41, 'error': 0.54, 'unit': '%'}",,,
MAPbI3,"{'value': 19.45, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 22.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 17.07, 'error': None, 'unit': '%'}",,,
thin c-Si,"{'value': 15.2, 'error': None, 'unit': '%'}","{'value': 0.57, 'error': None, 'unit': 'V'}","{'value': 34.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.2, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 6.15, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 13.14, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.18, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 14.4, 'error': None, 'unit': '%'}",,"{'value': 22.7, 'error': None, 'unit': 'mA/cm2'}",
CH3NH3PbI3,"{'value': 16.1, 'error': None, 'unit': '%'}","{'value': 1.09, 'error': None, 'unit': 'V'}","{'value': 21.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.68, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 17.55, 'error': None, 'unit': '%'}","{'value': 1.081, 'error': None, 'unit': 'V'}","{'value': 20.73, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.29, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 18.1, 'error': None, 'unit': '%'}",,,
CH3NH3PbI3,"{'value': 15.98, 'error': None, 'unit': '%'}",,,
CH3NH3PbI3,"{'value': 16.9, 'error': None, 'unit': '%'}",,,
CH3NH3PbI3−xClx,"{'value': 15.6, 'error': None, 'unit': '%'}","{'value': 1.07, 'error': None, 'unit': 'V'}","{'value': 21.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.3, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 15.6, 'error': None, 'unit': '%'}",,,
CH3NH3PbI2.85Br0.15,"{'value': 15.6, 'error': None, 'unit': '%'}",,"{'value': 17.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
CZTSSe,"{'value': 12.83, 'error': None, 'unit': '%'}","{'value': 0.49016000000000004, 'error': None, 'unit': 'V'}","{'value': 38.32, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.3, 'error': None, 'unit': '%'}"
N/A,"{'value': 8.11, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 16.01, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.68, 'error': None, 'unit': '%'}"
CuInS2,"{'value': 5.0, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 7.66, 'error': None, 'unit': '%'}","{'value': 1.01, 'error': None, 'unit': 'V'}","{'value': 11.47, 'error': None, 'unit': 'mA/cm2'}",
Zn2SnO4,"{'value': 4.0, 'error': None, 'unit': '%'}","{'value': 0.716, 'error': None, 'unit': 'V'}","{'value': 7.82, 'error': None, 'unit': 'mA/cm2'}",
Zn2SnO4,"{'value': 4.72, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 8.96, 'error': None, 'unit': 'mA/cm2'}",
S-PBDT:PCBM,"{'value': 2.75, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 5.45, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
S-PBDT,,"{'value': 0.99, 'error': None, 'unit': 'V'}",,
TiO2,"{'value': 1.9, 'error': None, 'unit': '%'}","{'value': 0.342, 'error': None, 'unit': 'V'}","{'value': 14.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 32.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 23.26, 'error': None, 'unit': '%'}","{'value': 1.18, 'error': None, 'unit': 'V'}","{'value': 24.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.49, 'error': None, 'unit': '%'}"
CH3NH3PbI3−xClx,"{'value': 5.3, 'error': None, 'unit': '%'}",,,
PTB7:PC71BM,"{'value': 7.64, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 14.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.89999999999999, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 7.62, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 17.82, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.27, 'error': None, 'unit': '%'}"
ZnPc–C60,"{'value': 0.02, 'error': None, 'unit': '%'}",,,
ZnPc/C60 polymer,"{'value': 0.04, 'error': None, 'unit': '%'}",,,
Triple-cation (FA/MA/Cs) perovskite,"{'value': 20.2, 'error': None, 'unit': '%'}","{'value': 1.15, 'error': None, 'unit': 'V'}","{'value': 22.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 77.4, 'error': None, 'unit': '%'}"
CsAg2Sb2I9,"{'value': 0.99, 'error': None, 'unit': '%'}","{'value': 0.77, 'error': None, 'unit': 'V'}","{'value': 1.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.1, 'error': None, 'unit': '%'}"
CH3NH3PbI3 (MAIPbI3),"{'value': 17.59, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 13.8, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 24.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.63, 'error': None, 'unit': '%'}"
N/A,"{'value': 10.9, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 21.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.6, 'error': None, 'unit': '%'}"
Cu2AgInS4 (CAIS) and Cu2AgInSe4 (CAISe) nanoparticles (NPs),"{'value': 4.24, 'error': None, 'unit': '%'}",,,
MAPbX3-based perovskite,"{'value': 19.3, 'error': None, 'unit': '%'}",,,
MAPb(I1−xBrx)3,"{'value': 15.88, 'error': None, 'unit': '%'}","{'value': 1.108, 'error': None, 'unit': 'V'}","{'value': 20.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 25.0, 'error': None, 'unit': '%'}","{'value': 1.78, 'error': None, 'unit': 'V'}","{'value': 17.81, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.6, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 26.0, 'error': None, 'unit': '%'}","{'value': 1.77, 'error': None, 'unit': 'V'}","{'value': 19.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.6, 'error': None, 'unit': '%'}"
PR13,"{'value': 5.8, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 10.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.57, 'error': None, 'unit': '%'}"
Random terpolymers,"{'value': 5.8, 'error': None, 'unit': '%'}",,,
Ternary blends,"{'value': 3.5, 'error': None, 'unit': '%'}",,,
BDT(ThBTTh)2,"{'value': 4.53, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 9.33, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.5, 'error': None, 'unit': '%'}"
BDT(BTTh2),"{'value': 1.58, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 4.74, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.5, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 14.1, 'error': None, 'unit': '%'}",,,
DPP(CT)2,"{'value': 4.02, 'error': None, 'unit': '%'}","{'value': 0.94, 'error': None, 'unit': 'V'}",,
Si,"{'value': 10.8, 'error': None, 'unit': '%'}","{'value': 0.56, 'error': None, 'unit': 'V'}","{'value': 34.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.00000000000001, 'error': None, 'unit': '%'}"
TiO2,"{'value': 0.43, 'error': None, 'unit': '%'}","{'value': 0.5, 'error': None, 'unit': 'V'}","{'value': 1.82, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.3, 'error': None, 'unit': '%'}"
TiO2,"{'value': 1.41, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 2.71, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.5, 'error': None, 'unit': '%'}"
Cs0.05FA0.84MA0.11PbI2.80Br0.20,"{'value': 21.9, 'error': None, 'unit': '%'}","{'value': 1.19, 'error': None, 'unit': 'V'}","{'value': 23.31, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.29, 'error': None, 'unit': '%'}"
PTB7:PDTP-DFBT:PC71BM,"{'value': 8.63, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 16.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.67, 'error': None, 'unit': '%'}"
1D/3D perovskite heterostructure,"{'value': 21.19, 'error': None, 'unit': '%'}","{'value': 1.11, 'error': None, 'unit': 'V'}","{'value': 23.69, 'error': None, 'unit': 'mA/cm2'}","{'value': 80.76, 'error': None, 'unit': '%'}"
N/A,"{'value': 4.02, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': ''}","{'value': 0.7, 'error': None, 'unit': '%'}"
"P(DKPP-TPTH), P(DKPP-TPTE), P(DKPP-TPTA), P(DKPP-TPTI)","{'value': 2.63, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 7.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
PAFBToBT,"{'value': 4.8, 'error': None, 'unit': '%'}",,,
PCDTBT,"{'value': 5.3, 'error': None, 'unit': '%'}",,,
P3HT,"{'value': 3.9, 'error': None, 'unit': '%'}",,,
MOIT-M,"{'value': 11.6, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 17.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.8, 'error': None, 'unit': '%'}"
IT-M,"{'value': 9.1, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 14.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.2, 'error': None, 'unit': '%'}"
POIT-M,"{'value': 9.7, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 15.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.1, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 25.2, 'error': None, 'unit': '%'}",,,
F3BnCz,"{'value': 19.86, 'error': None, 'unit': '%'}","{'value': 1.13, 'error': None, 'unit': 'V'}","{'value': 22.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.83, 'error': None, 'unit': '%'}"
F5BnCz,"{'value': 19.86, 'error': None, 'unit': '%'}","{'value': 1.11, 'error': None, 'unit': 'V'}","{'value': 22.52, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.4, 'error': None, 'unit': '%'}"
F4BnCz2,"{'value': 19.96, 'error': None, 'unit': '%'}","{'value': 1.12, 'error': None, 'unit': 'V'}","{'value': 22.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.77, 'error': None, 'unit': '%'}"
PSEHTT:PC71BM,"{'value': 5.61, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 12.36, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.689, 'error': None, 'unit': '%'}"
PTB7-Th:C7:ITIC,"{'value': 10.16, 'error': None, 'unit': '%'}",,"{'value': 18.36, 'error': None, 'unit': 'mA/cm2'}",
PTB7-Th:ITIC,"{'value': 7.35, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 14.87, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.04, 'error': None, 'unit': '%'}"
N719 and H-NIM,"{'value': 10.15, 'error': None, 'unit': '%'}","{'value': 0.794, 'error': None, 'unit': 'V'}","{'value': 18.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.6, 'error': None, 'unit': '%'}"
1:PC71BM,"{'value': 6.26, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 0.31, 'error': None, 'unit': 'mA/cm2'}","{'value': 1.9, 'error': None, 'unit': '%'}"
2:PC71BM,"{'value': 9.07, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 0.34, 'error': None, 'unit': 'mA/cm2'}","{'value': 3.21, 'error': None, 'unit': '%'}"
4CN-spiro,"{'value': 0.8, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 1.41, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.48, 'error': None, 'unit': '%'}"
Bi2Te3 and Sb2Te3 thick films,,"{'value': 0.09, 'error': None, 'unit': 'V'}",,
CdS/CdSe,"{'value': 6.46, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 20.07, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
TiO2,"{'value': 8.5, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
TiO2 + Ag nanoplate (550 nm) and TiO2 + Ag nanoplate (550 nm + 750 nm + 950 nm),"{'value': 15.13, 'error': None, 'unit': '%'}",,,
TiO2,"{'value': 5.82, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 13.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.60000000000001, 'error': None, 'unit': '%'}"
Dyed TiO2 photoanodes,"{'value': 5.82, 'error': None, 'unit': '%'}",,,
PM6:Y6,"{'value': 15.1, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 26.88, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.49, 'error': None, 'unit': '%'}"
PM6:Y6:PBM,"{'value': 16.1, 'error': None, 'unit': '%'}",,"{'value': 27.48, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.31, 'error': None, 'unit': '%'}"
PM6:Y6:PFBM,"{'value': 16.0, 'error': None, 'unit': '%'}",,,"{'value': 71.48, 'error': None, 'unit': '%'}"
N/A,"{'value': 7.25, 'error': None, 'unit': '%'}",,"{'value': 16.24, 'error': None, 'unit': 'mA/cm2'}",
PM6:TTBT-R:Y6,"{'value': 18.07, 'error': None, 'unit': '%'}","{'value': 0.862, 'error': None, 'unit': 'V'}","{'value': 27.01, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.13, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 4.1, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 11.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
Mesoporous TiO2 aggregates,"{'value': 9.0, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
MoSe2 and CVD-grown MoS2 heterojunctions,"{'value': 0.5, 'error': None, 'unit': '%'}","{'value': 0.16, 'error': None, 'unit': 'V'}",,"{'value': 25.0, 'error': None, 'unit': '%'}"
