,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
36,CoSe2,10.2,,0.753,,18.55,,73.0,"(73.0, None)"
37,TiO2,7.66,,0.71,,15.2,,71.0,"(71.0, None)"
38,ZnP2-DPP,9.47,,0.64,,21.4,,69.14,"(69.14, None)"
39,PCPDTTBT,1.65,,0.66,,6.46,,38.7,"(38.7, None)"
40,PCPDTTBT,2.85,,0.7,,8.42,,48.4,"(48.4, None)"
41,SQ:PC70BM,4.7,,0.85,,11.5,,48.0,"(48.0, None)"
42,CsFAMA,13.3,1.0,1.05,0.02,19.5,0.6,63.4,"(63.4, 1.0)"
43,"TRA, CRA, PyRA",1.68,,0.51,,5.65,,49.0,"(49.0, None)"
44,Perovskite,17.22,,1.02,,21.93,,76.0,"(76.0, None)"
45,N/A,13.8,0.2,0.85,,21.3,0.2,77.0,"(77.0, 0.01)"
46,N/A,12.8,0.2,0.84,,20.7,0.2,75.0,"(75.0, 0.02)"
47,PBDB-T:Y5,12.52,,0.88,,19.38,,73.4,"(73.4, None)"
48,PBDB-T:PF5-Y5,14.16,,0.944,,20.54,,73.1,"(73.1, None)"
49,PBDB-T:PF5-Y5,14.45,,0.946,,20.65,,74.0,"(74.0, None)"
50,N/A,8.38,,0.705,,16.53,,72.0,"(72.0, None)"
51,N/A,6.15,,0.7,,14.17,,62.0,"(62.0, None)"
52,Pure-CdSe,0.49,,0.7,,2.0,,42.0,"(42.0, None)"
53,3% Fe–CdSe,2.64,,0.78,,1.27,,84.0,"(84.0, None)"
54,3% Mn–CdSe,1.6,,0.71,,1.21,,56.00000000000001,"(56.00000000000001, None)"
55,Cu2O,0.67,,0.34,,4.15,,47.0,"(47.0, None)"
56,Cu2O,0.49,,0.34,,3.08,,47.0,"(47.0, None)"
57,PBDB-C2,18.25,,1.93,,10.47,,92.9,"(92.9, None)"
58,PBDB-C4,18.25,,1.93,,10.47,,92.9,"(92.9, None)"
59,Ag8SnS6,0.47,,0.19,,7.29,,34.07,"(34.07, None)"
60,Ag8SnS6,0.5,,0.2,,7.77,,32.45,"(32.45, None)"
61,Ag8SnS6,0.68,,0.26,,9.01,,28.9,"(28.9, None)"
62,Ag8SnS6,0.56,,0.23,,8.08,,30.25,"(30.25, None)"
63,Ag8SnS6,0.55,,0.24,,7.62,,29.91,"(29.91, None)"
64,ZnO,10.6,,1.07,,16.81,,59.0,"(59.0, None)"
65,ZnO/urea,14.6,,1.12,,19.94,,66.0,"(66.0, None)"
66,Cu9S5,5.7,,0.78,,13.7,,53.0,"(53.0, None)"
67,Cu9S5,3.9,,0.69,,12.3,,46.0,"(46.0, None)"
68,HM-NiS2,7.84,,0.712,,17.48,,63.0,"(63.0, None)"
69,Pt,7.89,,0.747,,17.04,,62.0,"(62.0, None)"
70,P3HT:PCBM,2.65,,0.581,,8.5,,53.7,"(53.7, None)"
71,rGO,16.28,,1.071,,21.46,,71.61,"(71.61, None)"
72,"Blank (w/o NPs, w/o annealing)",1.2,,0.46,,6.4,,38.5,"(38.5, None)"
73,"ZnOF (2.5%, w/o annealing)",1.3,,0.46,,6.5,,42.7,"(42.7, None)"
74,"ZnOF (5%, w/o annealing)",1.8,,0.47,,7.9,,48.0,"(48.0, None)"
75,"ZnOF (10%, w/o annealing)",1.3,,0.48,,7.1,,40.0,"(40.0, None)"
76,"ZnOF (5%, acetone annealing)",1.6,,0.49,,7.5,,43.7,"(43.7, None)"
77,"ZnOF (5%, o-DCB annealing)",2.4,,0.49,,8.1,,61.1,"(61.1, None)"
78,ZnOF (additional layer),2.0,,0.53,,6.8,,56.2,"(56.2, None)"
79,ZnO (additional layer),2.2,,0.55,,6.7,,59.2,"(59.2, None)"
80,BDT(TffBTTT6)2/PC61BM,2.59,,0.73,,2.97,,59.8,"(59.8, None)"
81,BDT(TffBTTT6)2/PC71BM,1.3,,0.72,,4.77,,37.9,"(37.9, None)"
82,BDT(TBTTT6)2/PC61BM,1.06,,0.72,,4.25,,34.6,"(34.6, None)"
83,BDT(TBTTT6)2/PC71BM,1.3,,0.72,,4.77,,37.9,"(37.9, None)"
84,DTTCY,2.96,,0.72,,2.0,,63.0,"(63.0, None)"
85,CH3NH3PbI3,7.61,,0.92,,19.03,,54.05,"(54.05, None)"
86,CH3NH3PbI3,17.04,,1.06,,23.25,,69.62,"(69.62, None)"
87,Sn-doped CsPbBr3 perovskite,8.95,,1.36,,9.27,,71.0,"(71.0, None)"
88,Sb2S3,5.77,,0.6665,,14.92,,58.04,"(58.04, None)"
89,BTz-4F-1,5.72,,0.84,,12.28,,55.3,"(55.3, None)"
90,BTz-4Cl-1,3.93,,0.8,,9.66,,51.0,"(51.0, None)"
91,DPPEZnP-TOM:PC61BM,8.96,,0.78,,17.74,,62.14,"(62.14, None)"
92,CuCrO2 and Mg:CuCrO2,13.1,,1.0,,18.0,,71.3,"(71.3, None)"
93,CIGSS,15.15,,0.669,,31.63,,71.62,"(71.62, None)"
94,CIGSS,12.84,,0.662,,28.78,,67.43,"(67.43, None)"
95,7a,3.04,,0.66,,5.6,,70.3,"(70.3, None)"
96,7b,4.12,,0.71,,7.2,,75.1,"(75.1, None)"
97,7c,4.98,,0.71,,8.8,,75.1,"(75.1, None)"
98,7d,5.62,,0.71,,10.4,,75.1,"(75.1, None)"
99,11d,6.67,,0.825,,13.77,,75.1,"(75.1, None)"
100,PCDTBT:PC71BM,5.51,,0.88,,11.28,,55.6,"(55.6, None)"
101,PCDTBT:PC71BM,6.57,,0.88,,13.65,,55.3,"(55.3, None)"
102,PTB7:PC71BM,7.4,,0.76,,16.27,,59.8,"(59.8, None)"
103,PTB7:PC71BM,8.28,,0.76,,18.3,,59.9,"(59.9, None)"
104,N/A,15.98,,1.015,,22.15,,74.8,"(74.8, None)"
105,CH3NH3PbI3,19.02,,1.01,,22.98,,81.7,"(81.7, None)"
106,CsSn0.5Ge0.5I3,24.2,,1.17,,25.8,,80.33,"(80.33, None)"
107,PBDTPO-DTBO/PC71BM,6.2,,0.89,,11.0,,64.0,"(64.0, None)"
108,PBDTPO-DTBT/PC71BM,3.4,,0.78,,9.3,,47.0,"(47.0, None)"
109,TQ1,14.27,,1.09,,21.79,,60.16,"(60.16, None)"
110,TQ2,19.62,,1.12,,22.55,,77.67,"(77.67, None)"
111,spiro-OMeTAD,18.54,,1.09,,22.58,,75.32,"(75.32, None)"
112,SK2I,2.0,,0.534,,7.1,,53.0,"(53.0, None)"
113,SK3I,7.1,,0.645,,17.2,,65.0,"(65.0, None)"
114,SK2C,2.4,,0.587,,8.4,,48.0,"(48.0, None)"
115,SK3C,9.0,,0.725,,18.3,,67.0,"(67.0, None)"
116,D2,6.75,,0.73,,13.21,,70.0,"(70.0, None)"
117,D1,4.73,,0.717,,9.3,,71.0,"(71.0, None)"
118,1:1 TQ1:PC61BM,3.5,,0.91,,7.5,,48.0,"(48.0, None)"
119,1:1 TQ1:C60,2.5,,0.81,,6.6,,48.0,"(48.0, None)"
120,5:4:1 TQ1:C60:C70,2.6,,0.77,,7.2,,46.0,"(46.0, None)"
121,2:1:1 TQ1:C60:C70,3.6,,0.78,,8.4,,54.0,"(54.0, None)"
122,1:1 TQ1:C70,2.9,,0.76,,8.2,,45.0,"(45.0, None)"
123,MAPbI3,19.45,,1.08,,22.79,,79.0,"(79.0, None)"
124,CdS,1.62,,0.72,,5.22,,43.0,"(43.0, None)"
125,C25,2.34,,0.69,,5.87,,57.99999999999999,"(57.99999999999999, None)"
126,C50,2.98,,0.71,,6.92,,61.0,"(61.0, None)"
127,C100,3.18,,0.71,,7.23,,62.0,"(62.0, None)"
128,C150,3.48,,0.72,,7.68,,63.0,"(63.0, None)"
129,C200,3.96,,0.73,,8.22,,66.0,"(66.0, None)"
130,C250,2.41,,0.7,,6.42,,53.0,"(53.0, None)"
131,PDCPTCz/PC71BM,0.73,,0.74,,1.92,,52.0,"(52.0, None)"
132,PDCPTCz-BT/PC71BM,1.57,,0.81,,4.59,,42.0,"(42.0, None)"
133,thin c-Si,15.2,,0.57,,34.6,,76.2,"(76.2, None)"
134,PM6:Y6:BTMe-C8-2F (1:1.2:0),15.86,,0.84,,26.07,,72.76,"(72.76, None)"
135,PM6:Y6:BTMe-C8-2F (1:1.2:0.2),17.0,,0.86,,26.96,,73.53,"(73.53, None)"
136,PM6:Y6:BTMe-C8-2F (1:1.2:0.3),17.68,,0.87,,27.32,,74.05,"(74.05, None)"
137,PM6:Y6:BTMe-C8-2F (1:1.2:0.4),17.48,,0.88,,27.0,,73.76,"(73.76, None)"
138,PM6:BTMe-C8-2F (1:0:1),11.98,,0.96,,17.34,,71.93,"(71.93, None)"
139,CH3NH3PbI3,6.15,,0.78,,13.14,,60.18,"(60.18, None)"
140,CH3NH3PbI3,16.1,,1.09,,21.76,,68.0,"(68.0, None)"
141,CH3NH3PbI3,17.55,,1.081,,20.73,,78.29,"(78.29, None)"
142,CH3NH3PbI3−xClx,15.6,,1.07,,21.1,,77.3,"(77.3, None)"
143,CZTSSe,12.83,,0.49016000000000004,,38.32,,68.3,"(68.3, None)"
144,ZnTTTD,3.51,,0.57,,9.34,,67.0,"(67.0, None)"
145,N/A,8.11,,0.75,,16.01,,68.0,"(68.0, None)"
146,S-PBDT:PCBM,2.75,,1.0,,5.45,,51.0,"(51.0, None)"
147,TiO2,1.9,,0.342,,14.15,,32.0,"(32.0, None)"
148,PTB7-Th,3.16,,0.86,,9.54,,39.0,"(39.0, None)"
149,PTB7-th:PC71BM,6.88,0.1,0.74,0.02,16.08,0.14,59.0,"(59.0, 0.01)"
150,Poly-L-lysine + poly-D-lysine,5.26,0.11,0.6,0.01,16.13,0.1,55.00000000000001,"(55.00000000000001, 0.03)"
151,Poly-L-lysine,7.29,0.12,0.75,0.02,16.75,0.13,60.0,"(60.0, 0.01)"
152,Poly-D-lysine,7.28,0.11,0.74,0.01,16.6,0.14,60.0,"(60.0, 0.01)"
153,PBDBT:ITIC,5.82,0.09,0.71,0.01,16.33,0.11,51.0,"(51.0, 0.02)"
154,Poly-L-lysine,7.39,0.07,0.84,0.01,16.8,0.12,53.0,"(53.0, 0.01)"
155,Poly-D-lysine,7.28,0.1,0.84,0.01,16.7,0.14,52.0,"(52.0, 0.01)"
156,Poly-L-lysine,9.86,0.09,0.85,0.01,19.77,0.13,60.0,"(60.0, 0.01)"
157,SnO2 nanorod@TiO2,6.98,,0.78,,16.15,,55.00000000000001,"(55.00000000000001, None)"
158,DPP-Th,12.02,,0.93,,20.53,,61.42,"(61.42, None)"
159,DPP-Se,13.51,,0.96,,21.7,,63.37,"(63.37, None)"
160,DPP-Th w/Li-TFSI,14.69,,1.0,,22.08,,66.53,"(66.53, None)"
161,DPP-Se w/Li-TFSI,16.83,,1.02,,22.18,,74.42,"(74.42, None)"
162,PC60BM,3.27,,0.92,,6.37,,56.0,"(56.0, None)"
163,PC60BM,2.88,,0.89,,6.61,,49.0,"(49.0, None)"
164,PC60BM,3.81,,0.92,,8.73,,48.0,"(48.0, None)"
165,CH3NH3PbI3,23.26,,1.18,,24.79,,79.49,"(79.49, None)"
166,PTB7:PC71BM,7.64,,0.73,,14.98,,69.89999999999999,"(69.89999999999999, None)"
167,CH3NH3PbI3,7.62,,0.89,,17.82,,48.27,"(48.27, None)"
168,PM6,10.07,,0.9,,16.41,,68.16,"(68.16, None)"
169,poly(3-hexylthiophene) blends with indene-C60 bis-adduct,3.5,,0.6,,10.0,,50.0,"(50.0, None)"
170,CeOx,10.04,,0.912,,20.32,,54.05,"(54.05, None)"
171,CeOx,16.85,,1.057,,22.9,,69.62,"(69.62, None)"
172,Triple-cation (FA/MA/Cs) perovskite,20.2,,1.15,,22.7,,77.4,"(77.4, None)"
173,Spiro/Li/TBP/FK209,16.2,,1.1,,20.57,,71.8,"(71.8, None)"
174,Spiro/Li/TBP/FeCl3,17.2,,1.11,,21.14,,73.4,"(73.4, None)"
175,CsAg2Sb2I9,0.99,,0.77,,1.91,,67.1,"(67.1, None)"
176,PBDB-T:DTPPSe-IC,9.88,,0.9,,17.32,,63.36,"(63.36, None)"
177,PBDB-T:DTPPSe-2F,13.76,,0.84,,22.16,,73.7,"(73.7, None)"
178,PBDB-T:DTPPSe-4F,12.03,,0.78,,21.18,,72.84,"(72.84, None)"
179,N/A,13.8,,0.88,,24.8,,63.0,"(63.0, None)"
180,N/A,10.9,,0.8,,21.7,,60.0,"(60.0, None)"
181,2TV-PT,1.03,,0.63,,4.2,,39.0,"(39.0, None)"
182,3TV-PT,1.48,,0.69,,5.02,,43.0,"(43.0, None)"
183,PPV,1.5,,1.1,,2.15,,50.0,"(50.0, None)"
184,PPV2,1.7,,1.36,,3.57,,35.0,"(35.0, None)"
185,PV-PT,0.8,,0.85,,3.14,,28.999999999999996,"(28.999999999999996, None)"
186,PPV3,1.5,,1.4,,3.0,,37.0,"(37.0, None)"
187,Polymer 3g,4.74,,0.99,,9.62,,50.0,"(50.0, None)"
188,Polymer 3n,7.73,,0.76,,15.2,,67.0,"(67.0, None)"
189,CZTSe,7.18,,0.38,,42.34,,44.0,"(44.0, None)"
190,T-FPDI,5.5,,0.78,,13.4,,53.0,"(53.0, None)"
191,TT-FPDI,7.17,,0.791,,14.4,,62.9,"(62.9, None)"
192,FT-FPDI,6.75,,0.805,,14.4,,58.2,"(58.2, None)"
193,FTT-FPDI,7.66,,0.822,,16.5,,56.4,"(56.4, None)"
194,MAPb(I1−xBrx)3,15.88,,1.108,,20.77,,69.0,"(69.0, None)"
195,P-hF,5.04,,0.553,,15.51,,58.8,"(58.8, None)"
196,P-hDF,6.14,,0.593,,15.98,,64.8,"(64.8, None)"
197,PBTTFB,8.25,,0.88,,14.25,,65.0,"(65.0, None)"
198,Water-soluble perylene diimide derivative (PDIM),9.44,,0.81,,15.56,,68.66,"(68.66, None)"
199,Perovskite,25.0,,1.78,,17.81,,78.6,"(78.6, None)"
200,Perovskite,26.0,,1.77,,19.22,,76.6,"(76.6, None)"
201,PR13,5.8,,0.95,,10.8,,56.99999999999999,"(56.99999999999999, None)"
202,BDT(ThBTTh)2,4.53,,0.89,,9.33,,54.5,"(54.5, None)"
203,BDT(BTTh2),1.58,,0.82,,4.74,,40.5,"(40.5, None)"
204,Spiro-OMeTAD,15.02,,1.1,,18.54,,73.79,"(73.79, None)"
205,PBDTP-DTDPP (undoped),14.73,,1.08,,19.43,,68.98,"(68.98, None)"
206,PBDTP-DTDPP (doped),14.0,,1.01,,19.21,,72.85,"(72.85, None)"
207,P(iso-NDI2DT-TBT)/PC61BM,1.54,,0.9,,2.18,,53.8,"(53.8, None)"
208,Si,10.8,,0.56,,34.4,,56.00000000000001,"(56.00000000000001, None)"
209,WD-6,4.9,,0.635,,10.86,,71.0,"(71.0, None)"
210,WD-7,6.02,,0.68,,12.64,,70.0,"(70.0, None)"
211,WD-8,6.79,,0.682,,14.43,,69.0,"(69.0, None)"
212,TiO2,0.43,,0.5,,1.82,,47.3,"(47.3, None)"
213,TiO2,1.41,,0.74,,2.71,,70.5,"(70.5, None)"
214,Cs0.05FA0.84MA0.11PbI2.80Br0.20,21.9,,1.19,,23.31,,79.29,"(79.29, None)"
215,ZnO NRs,0.27,,0.673,,0.996,,41.0,"(41.0, None)"
216,TiO2/ZnO hybrid,0.49,,0.67,,1.066,,68.0,"(68.0, None)"
217,TiO2/ZnO hybrid,1.09,,0.68,,2.768,,57.99999999999999,"(57.99999999999999, None)"
218,TiO2/ZnO hybrid,1.32,,0.682,,3.232,,60.0,"(60.0, None)"
219,TiO2/ZnO hybrid,1.83,,0.709,,4.401,,59.0,"(59.0, None)"
220,TiO2/ZnO hybrid,1.06,,0.706,,2.894,,52.0,"(52.0, None)"
221,PTB7:PDTP-DFBT:PC71BM,8.63,,0.74,,16.27,,70.67,"(70.67, None)"
222,PMOT32,8.59,,0.871,,13.84,,71.2,"(71.2, None)"
223,J52,7.51,,0.798,,14.05,,67.0,"(67.0, None)"
224,PMOT34,7.25,,0.912,,11.83,,67.2,"(67.2, None)"
225,BTEHR-FT:F-2Cl,7.55,,0.948,,12.1,,65.8,"(65.8, None)"
226,BTEHR-FT:F-2Cl,10.71,,0.932,,16.59,,69.19999999999999,"(69.19999999999999, None)"
227,CsPbBr3,6.68,,1.21,,6.72,,82.0,"(82.0, None)"
228,CsPbBr3-0.2%Co,8.67,,1.38,,7.48,,84.0,"(84.0, None)"
229,hierarchical TiO2 flower/Ti foil,6.26,,0.761,,11.96,,69.0,"(69.0, None)"
230,CdS-ZnO,0.85,,0.58,,3.15,,46.0,"(46.0, None)"
231,CdS-ZnO,1.61,,0.58,,5.61,,49.0,"(49.0, None)"
232,1D/3D perovskite heterostructure,21.19,,1.11,,23.69,,80.76,"(80.76, None)"
233,CH3NH3PbI3,16.04,,0.91,,21.75,,80.7,"(80.7, None)"
234,"P(DKPP-TPTH), P(DKPP-TPTE), P(DKPP-TPTA), P(DKPP-TPTI)",2.63,,0.81,,7.98,,63.0,"(63.0, None)"
235,MOIT-M,11.6,,0.98,,17.5,,68.8,"(68.8, None)"
236,IT-M,9.1,,0.98,,14.9,,62.2,"(62.2, None)"
237,POIT-M,9.7,,0.98,,15.4,,65.1,"(65.1, None)"
238,MEH-PPV/PCBM: LiOTf/PEO,2.07,,0.76,,6.37,,42.9,"(42.9, None)"
239,MEH-PPV/PCBM: KOTf/PEO,1.82,,0.72,,6.14,,41.2,"(41.2, None)"
240,MEH-PPV/PCBM: Ca(OTf)2/PEO,1.8,,0.7,,6.0,,42.8,"(42.8, None)"
241,MEH-PPV/PCBM: Zn(OTf)2/PEO,1.62,,0.7,,5.48,,42.4,"(42.4, None)"
242,F3BnCz,19.86,,1.13,,22.1,,79.83,"(79.83, None)"
243,F5BnCz,19.86,,1.11,,22.52,,79.4,"(79.4, None)"
244,F4BnCz2,19.96,,1.12,,22.65,,78.77,"(78.77, None)"
245,PSEHTT:PC71BM,5.61,,0.68,,12.36,,68.89999999999999,"(68.89999999999999, None)"
246,"RFTzR:PC60BM (2:1, w/w)",2.72,,0.756,,10.13,,34.0,"(34.0, None)"
247,Pa,4.54,,0.92,,8.19,,60.2,"(60.2, None)"
248,Pb,0.46,,0.66,,1.51,,59.6,"(59.6, None)"
249,Pc,2.15,,0.66,,5.46,,59.6,"(59.6, None)"
250,PTB7-Th:ITIC,7.35,,0.8,,14.87,,62.04,"(62.04, None)"
251,1-PMO-F,0.61,,0.91,,1.89,,36.0,"(36.0, None)"
252,2-PMO-F,0.14,,0.94,,0.48,,32.0,"(32.0, None)"
253,N719 and H-NIM,10.15,,0.794,,18.98,,70.6,"(70.6, None)"
254,4CN-spiro,0.8,,0.89,,1.41,,48.0,"(48.0, None)"
255,MeO-DATPA,5.63,,0.83,,10.84,,62.25,"(62.25, None)"
256,EtO-DATPA,1.02,,0.77,,4.1,,32.19,"(32.19, None)"
257,nPrO-DATPA,4.83,,0.79,,10.33,,59.22,"(59.22, None)"
258,iPrO-DATPA,3.24,,0.8,,9.89,,41.11,"(41.11, None)"
259,BuO-DATPA,3.29,,0.77,,7.02,,61.19,"(61.19, None)"
260,TiO2 nanoparticle underlayer,9.08,,0.806,,13.49,,68.0,"(68.0, None)"
261,PPDT2FBT,5.28,,0.87,,10.04,,60.16,"(60.16, None)"
262,TF-2'_CF3,9.53,,0.723,,18.25,,72.0,"(72.0, None)"
263,TF-2'_C3F7,9.22,,0.737,,17.18,,73.0,"(73.0, None)"
264,TF-tBu_CF3,9.35,,0.723,,17.99,,72.0,"(72.0, None)"
265,TF-tBu_C3F7,9.78,,0.757,,17.76,,74.0,"(74.0, None)"
266,TF-tBu_C5F11,9.39,,0.767,,16.47,,74.0,"(74.0, None)"
267,TF-tBu_C7F15,9.25,,0.773,,15.72,,75.0,"(75.0, None)"
268,TiO2,5.82,,0.63,,13.65,,67.60000000000001,"(67.60000000000001, None)"
269,PM6:Y6,15.1,,0.83,,26.88,,67.49,"(67.49, None)"
270,SnO2,1.61,,0.4,,8.3,,49.0,"(49.0, None)"
271,SnO2-La2O3,3.0,,0.46,,13.7,,48.0,"(48.0, None)"
272,YH4,4.91,,0.55,,13.12,,68.0,"(68.0, None)"
273,YH5,5.56,,0.58,,14.81,,65.0,"(65.0, None)"
274,YH6,6.7,,0.58,,16.12,,72.0,"(72.0, None)"
275,P3HT:PC61BM,3.49,,0.63,,8.21,,67.5,"(67.5, None)"
276,P3HT:PC61BM,3.7,,0.62,,8.92,,66.9,"(66.9, None)"
277,P3HT:PC61BM,3.96,,0.63,,9.4,,66.8,"(66.8, None)"
278,PTB7:PC71BM,6.05,,0.76,,12.07,,65.9,"(65.9, None)"
279,PTB7:PC71BM,6.31,,0.75,,12.75,,66.0,"(66.0, None)"
280,PTB7:PC71BM,6.55,,0.76,,12.84,,67.10000000000001,"(67.10000000000001, None)"
281,PM6:TTBT-R:Y6,18.07,,0.862,,27.01,,76.13,"(76.13, None)"
282,P3HT:PCBM,4.1,,0.59,,11.6,,60.0,"(60.0, None)"
283,C8-BTBT,22.45,,1.145,,24.21,,82.0,"(82.0, None)"
284,Fe2O3/NC,6.22,,0.746,,15.14,,55.07,"(55.07, None)"
285,NiO/NC,6.51,,0.751,,15.55,,55.74,"(55.74, None)"
286,NiO@Fe2O3/NC,8.69,,0.751,,17.52,,66.04,"(66.04, None)"
287,Pt,7.52,,0.751,,15.08,,66.75,"(66.75, None)"
288,PBDT,8.41,,0.89,,18.74,,50.6,"(50.6, None)"
289,PBDT,10.04,,0.88,,22.16,,51.31,"(51.31, None)"
290,PBDT-S,5.86,,0.92,,14.12,,43.38,"(43.38, None)"
291,PBDT-S,6.9,,0.9,,16.18,,46.99,"(46.99, None)"
292,N/A,4.71,,0.703,,10.2,,65.7,"(65.7, None)"
293,Co3O4,1.2,,0.66,,7.43,,24.47,"(24.47, None)"
294,Co3O4@RGO,5.79,,0.79,,11.91,,61.54,"(61.54, None)"
295,Pt,6.16,,0.79,,11.65,,66.93,"(66.93, None)"
296,PzNDTTPD:PC71BM,5.26,,0.91,,9.03,,64.0,"(64.0, None)"
297,N/A,0.64,,0.3,,5.6,,38.0,"(38.0, None)"
298,N/A,7.0,,0.932,,11.29,,66.0,"(66.0, None)"
299,PTB7,9.42,,1.03,,14.52,,63.0,"(63.0, None)"
300,PbS QDs,3.6,,0.54,,17.3,,39.0,"(39.0, None)"
301,AF-TiO2,18.29,,1.11,,22.27,,73.63,"(73.63, None)"
302,Formamidinium perovskite,15.5,,1.05,,22.7,,65.3,"(65.3, None)"
303,TiO2,5.09,,0.754,,9.44,,72.0,"(72.0, None)"
304,TiO2,5.82,,0.72,,12.78,,63.0,"(63.0, None)"
305,TiO2,5.77,,0.688,,15.66,,54.0,"(54.0, None)"
306,MoS2@Au,6.18,,0.72,,13.36,,62.7,"(62.7, None)"
307,MoS2@Au,7.25,,0.73,,15.44,,65.4,"(65.4, None)"
308,PbS,8.45,,0.63,,20.39,,65.8,"(65.8, None)"
309,IDIC,5.21,,0.954,,10.79,,50.6,"(50.6, None)"
310,PTB7:PC71BM,8.35,,0.93,,16.69,,67.91,"(67.91, None)"
311,PTB7:PC71BM,10.55,,0.93,,16.69,,67.91,"(67.91, None)"
312,PBDB-T:IT-M,10.55,,0.93,,16.69,,67.91,"(67.91, None)"
313,Si NW array,4.83,,0.525,0.002,16.45,0.19,55.900000000000006,"(55.900000000000006, 0.002)"
314,Any2MA4Pb5I16 2D/3D perovskite,7.63,,0.822,,13.79,,70.0,"(70.0, None)"
315,PCE10:m-IDTIDT-FIC,8.27,,0.8,,15.68,,66.27,"(66.27, None)"
316,J71:m-IDTIDT-FIC,11.32,,0.92,,18.01,,68.3,"(68.3, None)"
317,hierarchical yolk–shell TiO2 beads,9.05,,0.803,,18.01,,63.0,"(63.0, None)"
318,PTB7-Th-H,8.65,,0.8,,17.25,,63.0,"(63.0, None)"
319,PTB7-Th-L,4.07,,0.72,,10.81,,52.0,"(52.0, None)"
320,PRGO_2-600,11.6,,0.96,,15.8,,72.6,"(72.6, None)"
321,PEDOT:PSS,9.5,,0.88,,13.0,,70.3,"(70.3, None)"
322,ZnO (pH 9),1.34,,0.61,,4.22,,52.0,"(52.0, None)"
323,ZnO (pH 9) with gold nanoparticles,1.91,,0.68,,5.2,,54.0,"(54.0, None)"
324,ZnO (pH 9) with TiO2 nanoparticles (8 wt%),3.0,,0.74,,7.0,,57.99999999999999,"(57.99999999999999, None)"
325,t-OCP,6.23,,0.81,,11.17,,68.86,"(68.86, None)"
